report_id,report_type,timestamp,reporting_center,operator_id,name,gender,age_band,age_estimate,language,physical_description,last_seen_location,last_seen_lat,last_seen_lng,reporter_mobile,photo_url,status,duplicate_pair_id,is_ground_truth_dup,matched_report_id,resolution_time_mins
RPT_0012,found_unaccompanied,2027-02-10T18:47:00,BOOTH_05,OP_007,Arjun,unknown,child_6_12,7,Tamil,"tall stout person wearing yellow dupatta and dhoti, wearing glasses, carrying no bag",BOOTH_05,19.928932,73.528668,,,open,,False,,
RPT_0013,missing,2027-02-10T13:55:00,BOOTH_02,OP_011,Sunita,unknown,child_6_12,8,Unknown,"tall average build person wearing pink blouse and shorts, short hair, carrying flower garland",BOOTH_02,19.986445,73.760277,+91 9514565115,,open,,False,,
RPT_0014,found_unaccompanied,2027-02-10T08:55:00,BOOTH_04,OP_017,Lakshmi,unknown,teen,16,Bengali,"medium height thin person wearing green t-shirt and lehenga, bindi on forehead, carrying umbrella",BOOTH_04,19.947525,73.504989,,photos/synth_RPT_2229.jpg,open,,False,,
RPT_0015,found_unaccompanied,2027-02-10T17:22:00,BOOTH_08,OP_009,,male,adult,21,Gujarati,"short thin person wearing grey hoodie and shorts, long hair, carrying plastic bag",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_2139.jpg,open,,False,,
RPT_0016,missing,2027-02-10T12:15:00,BOOTH_07,OP_005,,male,teen,13,Unknown,"short average build person wearing yellow dupatta and pyjama, no distinguishing marks, carrying umbrella",BOOTH_07,20.007247,73.756022,+91 9770168441,photos/synth_RPT_1546.jpg,open,,False,,
RPT_0017,missing,2027-02-10T21:21:00,BOOTH_13,OP_020,,male,teen,13,Unknown,"medium height stout person wearing blue kurta and lehenga, short hair, carrying black backpack",BOOTH_13,19.987971,73.763241,+91 9862412903,photos/synth_RPT_1889.jpg,open,,False,,
RPT_0018,found_unaccompanied,2027-02-10T15:15:00,BOOTH_09,OP_015,Geeta,female,child_6_12,6,Unknown,"medium height thin person wearing orange jacket and lunghi, short hair, carrying small steel vessel",BOOTH_09,20.014907,73.782013,,,open,,False,,
RPT_0019,found_unaccompanied,2027-02-10T12:50:00,BOOTH_08,OP_010,Vikram,female,teen,19,Bengali,"medium height thin person wearing striped kurta and trousers, short hair, carrying plastic bag",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_1165.jpg,open,,False,,
RPT_0020,found_unaccompanied,2027-02-10T12:01:00,BOOTH_11,OP_009,Lakshmi,unknown,elderly,71,Tamil,"medium height average build person wearing grey hoodie and salwar, mole on left cheek, carrying plastic bag",BOOTH_11,19.990637,73.757836,,photos/synth_RPT_0374.jpg,open,,False,,
RPT_0021,found_unaccompanied,2027-02-10T12:23:00,BOOTH_13,OP_011,Sunita,female,teen,15,Gujarati,"tall stout person wearing blue kurta and dhoti, limping slightly, carrying plastic bag",BOOTH_13,19.987971,73.763241,,,open,,False,,
RPT_0022,missing,2027-02-10T15:38:00,BOOTH_06,OP_018,,male,child_6_12,10,Tamil,"medium height stout person wearing yellow dupatta and dhoti, bindi on forehead, carrying jhola bag",BOOTH_06,20.008062,73.780801,+91 9614872861,photos/synth_RPT_1451.jpg,open,,False,,
RPT_0023,missing,2027-02-10T14:26:00,BOOTH_11,OP_020,Vikram,unknown,teen,19,Marathi,"short average build person wearing grey hoodie and salwar, scar on chin, carrying flower garland",BOOTH_11,19.990637,73.757836,+91 9728108011,photos/synth_RPT_2490.jpg,open,,False,,
RPT_0024,found_unaccompanied,2027-02-10T13:58:00,BOOTH_03,OP_010,Vikram,male,child_0_5,3,Marathi,"tall stout person wearing blue kurta and lunghi, no distinguishing marks, carrying orange bag",BOOTH_03,20.008035,73.797909,,photos/synth_RPT_2429.jpg,open,,False,,
RPT_0025,missing,2027-02-10T21:27:00,BOOTH_12,OP_005,,female,teen,18,Unknown,"medium height average build person wearing green t-shirt and lehenga, mole on left cheek, carrying umbrella",BOOTH_12,19.995186,73.797356,+91 9404173231,photos/synth_RPT_1834.jpg,open,,False,,
RPT_0026,found_unaccompanied,2027-02-10T20:02:00,BOOTH_06,OP_015,,female,elderly,72,Bengali,"tall average build person wearing black t-shirt and lehenga, limping slightly, carrying no bag",BOOTH_06,20.008062,73.780801,,photos/synth_RPT_0728.jpg,open,,False,,
RPT_0027,found_unaccompanied,2027-02-10T11:51:00,BOOTH_09,OP_003,,female,adult,35,Bengali,"short stout person wearing red shirt and jeans, long hair, carrying jhola bag",BOOTH_09,20.014907,73.782013,,photos/synth_RPT_0071.jpg,open,PAIR_036,True,,
RPT_0028,missing,2027-02-10T12:09:00,BOOTH_01,OP_007,Priya,unknown,elderly,76,Tamil,"tall average build person wearing white saree and dhoti, bindi on forehead, carrying no bag",BOOTH_01,20.006171,73.754551,+91 9894181789,photos/synth_RPT_2279.jpg,open,,False,,
RPT_0029,missing,2027-02-10T08:36:00,BOOTH_10,OP_002,Arjun,male,adult,37,Gujarati,"short stout person wearing blue kurta and dhoti, mole on left cheek, carrying small steel vessel",BOOTH_10,19.996766,73.791175,+91 9903387645,photos/synth_RPT_1657.jpg,open,,False,,
RPT_0030,found_unaccompanied,2027-02-10T11:42:00,BOOTH_08,OP_017,Kavita,female,elderly,84,Tamil,"tall stout person wearing grey hoodie and lunghi, wearing silver anklet, carrying jhola bag",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_2000.jpg,open,,False,,
RPT_0031,found_unaccompanied,2027-02-10T07:14:00,BOOTH_06,OP_019,Priya,male,child_6_12,6,Marathi,"short average build person wearing pink blouse and jeans, limping slightly, carrying jhola bag",BOOTH_06,20.008062,73.780801,,,open,,False,,
RPT_0032,found_unaccompanied,2027-02-10T09:58:00,BOOTH_13,OP_017,Sunita,female,elderly,68,Tamil,"short thin person wearing striped kurta and lunghi, long hair, carrying umbrella",BOOTH_13,19.987971,73.763241,,photos/synth_RPT_1785.jpg,open,,False,,
RPT_0033,found_unaccompanied,2027-02-10T06:28:00,BOOTH_07,OP_010,Kavita,unknown,child_0_5,4,Hindi,"short stout person wearing striped kurta and lunghi, mole on left cheek, carrying jhola bag",BOOTH_07,20.007247,73.756022,,,open,,False,,
RPT_0034,found_unaccompanied,2027-02-10T06:18:00,BOOTH_05,OP_015,Priya,unknown,teen,17,Bengali,"medium height stout person wearing white saree and lehenga, long hair, carrying black backpack",BOOTH_05,19.928932,73.528668,,,open,,False,,
RPT_0035,found_unaccompanied,2027-02-10T14:23:00,BOOTH_12,OP_016,Lakshmi,unknown,teen,17,Telugu,"short thin person wearing yellow dupatta and lehenga, wearing glasses, carrying plastic bag",BOOTH_12,19.995186,73.797356,,,open,,False,,
RPT_0036,found_unaccompanied,2027-02-10T07:01:00,BOOTH_03,OP_006,,male,adult,33,Tamil,"short average build person wearing green t-shirt and trousers, wearing glasses, carrying plastic bag",BOOTH_03,20.008035,73.797909,,,open,,False,,
RPT_0037,found_unaccompanied,2027-02-10T12:10:00,BOOTH_08,OP_011,Sunita,female,adult,50,Tamil,"short average build person wearing striped kurta and salwar, bindi on forehead, carrying jhola bag",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_1683.jpg,open,,False,,
RPT_0038,missing,2027-02-10T13:19:00,BOOTH_11,OP_014,Arjun,male,elderly,86,Bengali,"short thin person wearing pink blouse and shorts, mole on left cheek, carrying flower garland",BOOTH_11,19.990637,73.757836,+91 9870544763,,open,,False,,
RPT_0039,found_unaccompanied,2027-02-10T12:01:00,BOOTH_07,OP_017,Kavita,male,child_0_5,5,Marathi,"tall stout person wearing yellow dupatta and pyjama, scar on chin, carrying flower garland",BOOTH_07,20.007247,73.756022,,photos/synth_RPT_2387.jpg,open,,False,,
RPT_0040,missing,2027-02-10T20:41:00,BOOTH_12,OP_003,,male,adult,31,Telugu,"tall thin person wearing blue kurta and lunghi, bindi on forehead, carrying umbrella",BOOTH_12,19.995186,73.797356,+91 9420474498,,open,,False,,
RPT_0041,found_unaccompanied,2027-02-10T16:33:00,BOOTH_08,OP_006,Lakshmi,female,child_0_5,2,Gujarati,"short thin person wearing green t-shirt and pyjama, scar on chin, carrying no bag",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_0378.jpg,open,,False,,
RPT_0042,found_unaccompanied,2027-02-10T20:23:00,BOOTH_06,OP_004,Vikram,female,child_0_5,3,Telugu,"medium height average build person wearing pink blouse and dhoti, wearing silver anklet, carrying no bag",BOOTH_06,20.008062,73.780801,,photos/synth_RPT_0928.jpg,open,,False,,
RPT_0043,missing,2027-02-10T06:31:00,BOOTH_04,OP_015,Kavita,female,child_0_5,3,Gujarati,"tall average build person in green t-shirt and pyjama, bindi on forehead, holding no bag",BOOTH_02,19.986445,73.760277,+91 9168000803,,open,PAIR_078,True,,
RPT_0044,found_unaccompanied,2027-02-10T08:06:00,BOOTH_07,OP_019,Geeta,female,adult,52,Unknown,"tall stout person wearing yellow dupatta and lunghi, limping slightly, carrying flower garland",BOOTH_07,20.007247,73.756022,,photos/synth_RPT_2447.jpg,open,,False,,
RPT_0045,found_unaccompanied,2027-02-10T07:32:00,BOOTH_04,OP_003,,unknown,child_0_5,3,Tamil,"short stout person wearing white saree and dhoti, scar on chin, carrying orange bag",BOOTH_04,19.947525,73.504989,,photos/synth_RPT_0546.jpg,open,,False,,
RPT_0046,missing,2027-02-10T10:01:00,BOOTH_04,OP_005,,unknown,child_6_12,6,Gujarati,"short average build person wearing blue kurta and dhoti, scar on chin, carrying plastic bag",BOOTH_04,19.947525,73.504989,+91 9129730183,photos/synth_RPT_2218.jpg,open,,False,,
RPT_0047,missing,2027-02-10T06:13:00,BOOTH_01,OP_001,,male,child_6_12,8,Telugu,"medium height stout person wearing orange jacket and dhoti, bindi on forehead, carrying no bag",BOOTH_01,20.006171,73.754551,+91 9577091621,,open,,False,,
RPT_0048,missing,2027-02-10T06:08:00,BOOTH_09,OP_007,Vikram,male,teen,19,Unknown,"tall average build person wearing green t-shirt and pyjama, mole on left cheek, carrying no bag",BOOTH_09,20.014907,73.782013,+91 9710571363,,open,,False,,
RPT_0049,missing,2027-02-10T12:49:00,BOOTH_04,OP_005,,unknown,elderly,73,Bengali,"short stout person wearing black t-shirt and shorts, limping slightly, carrying orange bag",BOOTH_04,19.947525,73.504989,+91 9454604182,photos/synth_RPT_1539.jpg,open,,False,,
RPT_0050,found_unaccompanied,2027-02-10T06:42:00,BOOTH_11,OP_019,Lakshmi,female,adult,39,Tamil,"tall average build person wearing orange jacket and dhoti, no distinguishing marks, carrying flower garland",BOOTH_11,19.990637,73.757836,,photos/synth_RPT_0629.jpg,open,,False,,
RPT_0051,found_unaccompanied,2027-02-10T15:09:00,BOOTH_10,OP_017,Geeta,unknown,teen,18,Tamil,"short thin person wearing red shirt and dhoti, birthmark on neck, carrying flower garland",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_0312.jpg,open,,False,,
RPT_0052,found_unaccompanied,2027-02-10T20:01:00,BOOTH_10,OP_016,,unknown,elderly,66,Hindi,"short thin person wearing green t-shirt and lehenga, bindi on forehead, carrying plastic bag",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_2399.jpg,open,,False,,
RPT_0053,found_unaccompanied,2027-02-10T17:18:00,BOOTH_10,OP_016,Kavita,female,elderly,81,Gujarati,"short average build person wearing blue kurta and trousers, short hair, carrying black backpack",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_1178.jpg,open,,False,,
RPT_0054,missing,2027-02-10T17:34:00,BOOTH_10,OP_018,Vikram,unknown,teen,18,Gujarati,"tall stout person wearing pink blouse and trousers, mole on left cheek, carrying small steel vessel",BOOTH_10,19.996766,73.791175,+91 9797964448,photos/synth_RPT_0471.jpg,open,,False,,
RPT_0055,missing,2027-02-10T21:31:00,BOOTH_01,OP_007,Vikram,male,adult,30,Telugu,"tall thin person wearing yellow dupatta and trousers, short hair, carrying no bag",BOOTH_01,20.006171,73.754551,+91 9466154497,photos/synth_RPT_1417.jpg,open,,False,,
RPT_0056,missing,2027-02-10T20:12:00,BOOTH_07,OP_013,Sunita,unknown,adult,32,Telugu,"medium height stout person wearing black t-shirt and jeans, short hair, carrying jhola bag",BOOTH_07,20.007247,73.756022,+91 9894414358,photos/synth_RPT_0385.jpg,open,,False,,
RPT_0057,found_unaccompanied,2027-02-10T08:24:00,BOOTH_04,OP_010,,female,adult,35,Telugu,"medium height average build person wearing pink blouse and pyjama, long hair, carrying umbrella",BOOTH_04,19.947525,73.504989,,photos/synth_RPT_0073.jpg,open,PAIR_037,True,,
RPT_0058,missing,2027-02-10T06:07:00,BOOTH_01,OP_001,Priya,female,adult,40,Tamil,"tall thin person wearing grey hoodie and trousers, mole on left cheek, carrying small steel vessel",BOOTH_01,20.006171,73.754551,+91 9442745689,photos/synth_RPT_2053.jpg,open,,False,,
RPT_0059,found_unaccompanied,2027-02-10T08:29:00,BOOTH_12,OP_007,Priya,male,teen,17,Telugu,"medium height average build person wearing red shirt and lunghi, mole on left cheek, carrying umbrella",BOOTH_12,19.995186,73.797356,,photos/synth_RPT_0591.jpg,open,,False,,
RPT_0060,missing,2027-02-10T21:41:00,BOOTH_05,OP_001,Kavita,male,teen,16,Marathi,"medium height stout person wearing red shirt and dhoti, wearing glasses, carrying black backpack",BOOTH_05,19.928932,73.528668,+91 9846163140,photos/synth_RPT_0856.jpg,open,,False,,
RPT_0061,missing,2027-02-10T16:59:00,BOOTH_11,OP_002,Sunita,male,teen,13,Hindi,"tall average build person wearing yellow dupatta and shorts, short hair, carrying umbrella",BOOTH_11,19.990637,73.757836,+91 9365180555,photos/synth_RPT_0557.jpg,open,,False,,
RPT_0062,found_unaccompanied,2027-02-10T19:46:00,BOOTH_08,OP_008,Sunita,female,elderly,74,Tamil,"short stout person wearing orange jacket and lehenga, bindi on forehead, carrying flower garland",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_0913.jpg,open,,False,,
RPT_0063,found_unaccompanied,2027-02-10T21:10:00,BOOTH_07,OP_017,Ramesh,unknown,child_6_12,6,Gujarati,"tall stout person wearing pink blouse and salwar, wearing silver anklet, carrying no bag",BOOTH_07,20.007247,73.756022,,,open,,False,,
RPT_0064,missing,2027-02-10T13:11:00,BOOTH_13,OP_014,,female,adult,35,Gujarati,"large slim person in white saree and salwar, limping slightly, holding flower garland",BOOTH_03,20.008035,73.797909,+91 9926561919,,open,PAIR_009,True,,
RPT_0065,found_unaccompanied,2027-02-10T20:05:00,BOOTH_02,OP_006,Ramesh,unknown,teen,17,Marathi,"medium height average build person wearing blue kurta and pyjama, long hair, carrying small steel vessel",BOOTH_02,19.986445,73.760277,,photos/synth_RPT_2486.jpg,open,,False,,
RPT_0066,found_unaccompanied,2027-02-10T14:26:00,BOOTH_11,OP_016,Vikram,unknown,child_0_5,1,Bengali,"medium height average build person wearing green t-shirt and lunghi, bindi on forehead, carrying small steel vessel",BOOTH_11,19.990637,73.757836,,,open,,False,,
RPT_0067,found_unaccompanied,2027-02-10T20:28:00,BOOTH_04,OP_004,,male,teen,16,Gujarati,"medium height thin person wearing blue kurta and shorts, limping slightly, carrying orange bag",BOOTH_04,19.947525,73.504989,,,open,,False,,
RPT_0068,missing,2027-02-10T09:22:00,BOOTH_05,OP_020,Arjun,female,child_6_12,8,Hindi,"short stout person wearing blue kurta and lunghi, mole on left cheek, carrying black backpack",BOOTH_05,19.928932,73.528668,+91 9897976063,photos/synth_RPT_2134.jpg,open,,False,,
RPT_0069,missing,2027-02-10T16:33:00,BOOTH_06,OP_016,,unknown,elderly,71,Bengali,"short average build person wearing pink blouse and lehenga, wearing silver anklet, carrying umbrella",BOOTH_06,20.008062,73.780801,+91 9895384919,,open,,False,,
RPT_0070,missing,2027-02-10T17:34:00,BOOTH_03,OP_005,Arjun,male,child_6_12,8,Bengali,"medium height thin person wearing green t-shirt and jeans, wearing glasses, carrying umbrella",BOOTH_03,20.008035,73.797909,+91 9156341511,photos/synth_RPT_0533.jpg,open,,False,,
RPT_0071,found_unaccompanied,2027-02-10T06:00:00,BOOTH_07,OP_015,Sunita,male,child_6_12,11,Telugu,"short average build person wearing striped kurta and lehenga, long hair, carrying plastic bag",BOOTH_07,20.007247,73.756022,,photos/synth_RPT_1561.jpg,open,,False,,
RPT_0072,found_unaccompanied,2027-02-10T15:44:00,BOOTH_13,OP_008,,female,child_6_12,10,Telugu,"tall stout person wearing grey hoodie and lehenga, mole on left cheek, carrying black backpack",BOOTH_13,19.987971,73.763241,,photos/synth_RPT_1581.jpg,open,,False,,
RPT_0073,missing,2027-02-10T20:26:00,BOOTH_13,OP_001,,unknown,child_0_5,1,Marathi,"medium height stout person wearing red shirt and lehenga, long hair, carrying small steel vessel",BOOTH_13,19.987971,73.763241,+91 9194897028,,open,,False,,
RPT_0074,missing,2027-02-10T12:19:00,BOOTH_06,OP_002,Ramesh,unknown,adult,31,Hindi,"short stout person wearing black t-shirt and pyjama, bindi on forehead, carrying umbrella",BOOTH_06,20.008062,73.780801,+91 9318622674,photos/synth_RPT_0805.jpg,open,,False,,
RPT_0075,found_unaccompanied,2027-02-10T21:39:00,BOOTH_12,OP_016,Geeta,female,elderly,87,Tamil,"short stout person wearing black t-shirt and shorts, short hair, carrying small steel vessel",BOOTH_12,19.995186,73.797356,,,open,,False,,
RPT_0076,missing,2027-02-10T18:15:00,BOOTH_04,OP_020,,male,child_0_5,3,Hindi,"short stout person wearing black t-shirt and salwar, long hair, carrying umbrella",BOOTH_04,19.947525,73.504989,+91 9871126089,,open,,False,,
RPT_0077,found_unaccompanied,2027-02-10T21:14:00,BOOTH_13,OP_011,Lakshmi,unknown,adult,24,Hindi,"tall thin person wearing yellow dupatta and lunghi, short hair, carrying black backpack",BOOTH_13,19.987971,73.763241,,,open,,False,,
RPT_0078,found_unaccompanied,2027-02-10T08:34:00,BOOTH_09,OP_007,Ramesh,unknown,child_6_12,6,Gujarati,"tall stout person wearing black t-shirt and lunghi, wearing glasses, carrying flower garland",BOOTH_09,20.014907,73.782013,,,open,,False,,
RPT_0079,missing,2027-02-10T21:48:00,BOOTH_13,OP_017,Kavita,female,elderly,68,Hindi,"medium height heavy person in orange and pyjama, in silver anklet, carrying backpack",BOOTH_12,19.995186,73.797356,+91 9177880216,,open,PAIR_092,True,,
RPT_0080,found_unaccompanied,2027-02-10T18:17:00,BOOTH_10,OP_009,Vikram,unknown,teen,16,Bengali,"short thin person wearing red shirt and salwar, birthmark on neck, carrying jhola bag",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_1057.jpg,open,,False,,
RPT_0081,missing,2027-02-10T21:44:00,BOOTH_12,OP_019,,male,child_0_5,3,Unknown,"small slim person in black shirt and pyjama, scar on chin, carrying black backpack",BOOTH_10,19.996766,73.791175,+91 9939328588,,open,PAIR_098,True,,
RPT_0082,found_unaccompanied,2027-02-10T09:30:00,BOOTH_07,OP_010,Arjun,unknown,child_0_5,4,Unknown,"tall thin person wearing black t-shirt and pyjama, wearing silver anklet, carrying jhola bag",BOOTH_07,20.007247,73.756022,,photos/synth_RPT_0496.jpg,open,,False,,
RPT_0083,missing,2027-02-10T18:24:00,BOOTH_03,OP_003,,female,child_6_12,7,Unknown,"tall thin person wearing pink blouse and jeans, wearing silver anklet, carrying small steel vessel",BOOTH_03,20.008035,73.797909,+91 9139359410,photos/synth_RPT_0245.jpg,open,,False,,
RPT_0084,found_unaccompanied,2027-02-10T21:08:00,BOOTH_04,OP_015,Priya,female,teen,18,Tamil,"short thin person wearing striped kurta and trousers, no distinguishing marks, carrying no bag",BOOTH_04,19.947525,73.504989,,photos/synth_RPT_0274.jpg,open,,False,,
RPT_0085,found_unaccompanied,2027-02-10T07:21:00,BOOTH_07,OP_002,Geeta,female,child_6_12,6,Bengali,"tall average build person wearing yellow dupatta and dhoti, no distinguishing marks, carrying plastic bag",BOOTH_07,20.007247,73.756022,,photos/synth_RPT_1489.jpg,open,,False,,
RPT_0086,missing,2027-02-10T20:35:00,BOOTH_06,OP_008,Kavita,female,teen,15,Marathi,"small average build person wearing red shirt and shorts, in silver anklet, carrying black backpack",BOOTH_09,20.014907,73.782013,+91 9965661638,,open,PAIR_091,True,,
RPT_0087,found_unaccompanied,2027-02-10T15:54:00,BOOTH_10,OP_001,,female,adult,28,Tamil,"medium height stout person wearing green t-shirt and trousers, limping slightly, carrying jhola bag",BOOTH_10,19.996766,73.791175,,photos/synth_RPT_0337.jpg,open,,False,,
RPT_0088,found_unaccompanied,2027-02-10T07:34:00,BOOTH_01,OP_017,,female,child_6_12,7,Bengali,"medium height average build person wearing pink blouse and pyjama, short hair, carrying no bag",BOOTH_01,20.006171,73.754551,,,open,,False,,
RPT_0089,missing,2027-02-10T07:08:00,BOOTH_02,OP_018,,female,teen,14,Unknown,"tall stout person wearing striped kurta and dhoti, scar on chin, carrying flower garland",BOOTH_02,19.986445,73.760277,+91 9788631631,,open,,False,,
RPT_0090,missing,2027-02-10T14:23:00,BOOTH_11,OP_016,Vikram,unknown,teen,14,Telugu,"tall average build person wearing green t-shirt and shorts, limping slightly, carrying flower garland",BOOTH_11,19.990637,73.757836,+91 9335344677,photos/synth_RPT_2498.jpg,open,,False,,
RPT_0091,missing,2027-02-10T09:36:00,BOOTH_02,OP_004,Sunita,male,child_6_12,9,Unknown,"tall thin person in pink blouse and lunghi, long hair, carrying flower garland",BOOTH_05,19.928932,73.528668,+91 9213449146,,open,PAIR_087,True,,
RPT_0092,missing,2027-02-10T19:28:00,BOOTH_07,OP_005,Priya,male,elderly,70,Marathi,"short stout person wearing red shirt and salwar, scar on chin, carrying flower garland",BOOTH_07,20.007247,73.756022,+91 9187410848,,open,,False,,
RPT_0093,found_unaccompanied,2027-02-10T09:17:00,BOOTH_11,OP_001,Vikram,female,child_0_5,4,Marathi,"medium height stout person wearing black t-shirt and lunghi, wearing glasses, carrying jhola bag",BOOTH_11,19.990637,73.757836,,,open,,False,,
RPT_0094,missing,2027-02-10T15:38:00,BOOTH_02,OP_012,Vikram,female,elderly,74,Gujarati,"short average build person wearing grey hoodie and lehenga, no distinguishing marks, carrying flower garland",BOOTH_02,19.986445,73.760277,+91 9700322425,photos/synth_RPT_0257.jpg,open,,False,,
RPT_0095,missing,2027-02-10T21:24:00,BOOTH_05,OP_018,Vikram,male,teen,18,Bengali,"medium height average build person wearing grey hoodie and trousers, no distinguishing marks, carrying orange bag",BOOTH_05,19.928932,73.528668,+91 9381460807,photos/synth_RPT_1068.jpg,open,,False,,
RPT_0096,found_unaccompanied,2027-02-10T19:27:00,BOOTH_02,OP_019,,male,child_6_12,9,Tamil,"short thin person wearing striped kurta and jeans, mole on left cheek, carrying umbrella",BOOTH_02,19.986445,73.760277,,photos/synth_RPT_0055.jpg,open,PAIR_028,True,,
RPT_0097,found_unaccompanied,2027-02-10T14:33:00,BOOTH_02,OP_015,Arjun,unknown,elderly,84,Hindi,"tall stout person wearing orange jacket and jeans, short hair, carrying jhola bag",BOOTH_02,19.986445,73.760277,,photos/synth_RPT_2023.jpg,open,,False,,
RPT_0098,found_unaccompanied,2027-02-10T21:46:00,BOOTH_08,OP_014,,male,child_0_5,3,Hindi,"medium height average build person wearing red shirt and lehenga, scar on chin, carrying black backpack",BOOTH_08,19.99391,73.808465,,photos/synth_RPT_0177.jpg,open,PAIR_089,True,,
RPT_0099,missing,2027-02-10T17:04:00,BOOTH_05,OP_002,Lakshmi,female,elderly,79,Gujarati,"tall stout person wearing red shirt and shorts, mole on left cheek, carrying jhola bag",BOOTH_05,19.928932,73.528668,+91 9632122295,,open,,False,,
RPT_0100,missing,2027-02-10T12:43:00,BOOTH_06,OP_005,,female,child_0_5,2,Unknown,"medium height stout person wearing white saree and shorts, short hair, carrying plastic bag",BOOTH_06,20.008062,73.780801,+91 9958260811,photos/synth_RPT_0824.jpg,open,,False,,
RPT_0101,missing,2027-02-10T15:56:00,BOOTH_03,OP_016,,female,child_6_12,9,Hindi,"medium height thin person wearing red shirt pyjama, short hair, holding jhola bag",BOOTH_11,19.990637,73.757836,+91 9799552991,,open,PAIR_018,True,,
RPT_0102,missing,2027-02-10T15:08:00,BOOTH_08,OP_001,Lakshmi,male,elderly,61,Telugu,"short thin person wearing green t-shirt and lehenga, long hair, carrying plastic bag",BOOTH_08,19.99391,73.808465,+91 9451693111,photos/synth_RPT_0606.jpg,open,,False,,
RPT_0103,missing,2027-02-10T14:47:00,BOOTH_05,OP_011,Arjun,male,adult,28,Tamil,"tall average build person wearing pink blouse and salwar, wearing silver anklet, carrying flower garland",BOOTH_05,19.928932,73.528668,+91 9976567475,,open,,False,,
